Paul Sinnott,0,3,2,56,44,54,54,57,61,52,37,53,47,53,37,56,54,33,32,59,70,55,34,59,54,58,33,17,55,58,42,14,57
Lukas Klünter,4,3,3,56,49,56,58,61,56,53,35,50,41,42,52,60,49,65,68,61,65,55,65,60,62,43,29,23,34,29,49,21,59
Christian Gytkjær,25,4,2,69,68,16,19,16,68,70,78,32,61,71,59,57,48,73,73,66,70,66,72,72,68,72,72,69,61,56,79,64,72
Matthew Palmer,16,3,2,65,65,48,58,62,59,54,60,69,69,59,70,71,65,72,70,73,64,67,68,68,48,62,59,63,57,60,36,55,67
Rhys Bennett,7,3,2,55,54,57,62,64,64,56,40,60,50,57,55,60,58,75,78,70,79,66,58,65,60,45,38,40,49,30,34,30,64
Andrew Farrell,0,2,2,62,57,65,71,70,79,67,56,67,42,68,58,59,43,82,77,82,74,71,75,57,49,61,46,51,55,53,31,52,69
Javier Salas,7,3,2,68,64,56,58,61,73,61,57,64,64,56,58,72,72,67,67,72,72,67,65,48,47,64,51,55,54,42,59,54,67
Akim Zedadka,4,2,3,59,62,55,61,64,48,48,55,49,40,51,57,47,36,82,81,70,52,77,75,43,34,59,54,42,39,44,57,51,60
Salomão,16,4,3,73,74,43,42,42,51,59,61,42,58,42,70,62,56,74,73,57,46,71,80,62,51,71,63,71,70,65,80,58,67
Bandar Al Mutairi,16,3,2,53,55,53,55,61,55,50,51,49,43,42,60,53,37,84,85,74,44,77,76,70,41,20,22,29,57,33,37,20,60
Kaan Kairinen,7,3,2,55,53,38,39,43,41,53,41,30,52,54,46,57,55,68,68,66,57,67,59,51,41,58,40,36,54,52,45,39,53
Marco Bustos,17,3,3,58,64,31,34,32,42,58,50,24,60,54,55,60,57,69,67,55,43,87,85,60,41,48,46,42,60,40,60,40,60
Dele Alli,16,3,3,83,80,57,57,60,84,83,84,65,81,81,65,83,73,77,76,88,70,58,74,65,70,75,79,74,67,46,52,71,82
Dominique Badji,16,2,3,63,61,22,18,20,58,64,62,19,47,59,23,55,24,77,79,68,73,61,59,66,70,54,64,44,31,29,56,44,64
Chris O'Grady,25,3,3,68,59,17,18,42,63,56,64,23,60,62,39,58,43,58,64,72,89,41,65,71,71,73,65,61,44,35,64,65,67
Dominik Prokop,9,3,3,66,73,30,42,34,61,55,49,38,47,62,43,56,58,71,72,63,35,89,67,64,50,53,35,45,35,37,43,34,58
Nacho,4,3,2,71,65,63,74,66,77,62,59,71,53,36,73,62,64,83,85,78,58,83,82,82,51,79,43,64,65,53,40,46,71
Oliver Kragl,16,3,3,67,67,60,58,60,78,72,66,56,55,73,65,64,62,74,74,72,76,56,64,32,56,85,49,78,69,76,61,64,67
Bernardo,7,3,2,69,61,66,74,73,73,68,55,70,49,63,52,69,59,69,78,75,69,64,73,74,59,67,28,58,47,32,38,35,70
Erik Israelsson,9,3,2,64,57,51,58,61,82,79,76,62,65,67,53,68,63,62,63,90,78,72,69,91,76,69,70,62,53,45,47,54,67
Wálter Flores,16,2,2,50,51,63,62,61,62,55,59,67,62,62,44,63,64,63,62,62,68,78,59,59,43,61,44,60,42,53,55,42,63
Dario Rodríguez,17,3,3,76,74,33,34,42,33,75,76,44,72,48,48,75,58,77,78,68,53,76,85,61,49,66,75,68,49,60,63,71,72
Francesco Renzetti,16,4,2,66,70,68,67,68,75,72,52,67,55,66,70,67,63,78,85,90,67,84,75,75,52,65,50,51,69,67,46,48,72
Miguel Murillo,17,2,3,53,64,35,32,26,31,58,60,20,47,55,42,54,41,91,87,77,59,76,65,81,54,55,59,51,46,34,59,47,61
Luka Modrić,7,4,4,92,86,66,73,80,62,88,79,76,90,76,78,92,83,77,71,83,58,94,93,67,55,73,71,82,79,77,80,74,89
Daley Sinkgraven,9,3,3,79,77,63,59,65,72,73,67,69,77,60,75,75,63,83,78,78,53,69,86,77,67,63,58,55,75,65,56,69,72
Lucas Lima,3,3,2,73,73,67,70,71,66,70,71,70,66,68,72,69,70,74,78,79,60,70,75,76,41,75,53,76,75,70,56,53,72
Paweł Wszołek,17,2,3,74,74,38,37,39,60,69,69,35,69,69,72,71,68,79,80,85,75,61,72,61,54,66,55,60,58,52,51,56,73
Jonathan Obika,25,2,3,66,59,25,28,30,50,58,64,15,39,67,31,53,30,72,73,58,85,60,62,70,67,69,64,54,52,57,66,56,66
Jacopo Manconi,25,2,2,68,65,15,20,21,52,53,65,31,67,52,63,64,55,73,71,55,61,70,73,66,60,53,58,54,56,31,67,41,64
Jonathan Martins Pereira,4,2,4,70,69,70,78,73,77,60,68,68,52,64,73,71,67,68,67,76,65,65,68,63,59,55,39,62,57,44,52,48,71
Nicolai Müller,17,3,3,77,77,38,37,53,72,73,75,48,71,72,71,74,67,89,87,77,57,84,87,78,56,71,71,63,65,61,73,68,77
Paolo Hurtado,25,4,3,74,75,55,28,34,56,70,72,45,70,68,68,74,62,83,85,68,56,74,84,80,67,79,68,65,65,70,69,65,74
Nacho,17,3,4,64,71,18,21,23,51,49,53,20,58,43,67,59,59,78,75,55,57,73,66,63,55,66,67,60,73,46,75,63,65
Gonzalo Castro,17,4,3,82,80,72,78,70,63,84,78,78,83,83,82,84,82,76,72,78,65,83,83,75,52,77,69,78,80,74,58,65,82
Joseph Baffo,4,3,2,51,45,68,70,72,69,58,30,66,44,64,42,51,53,69,72,69,74,62,62,91,70,52,28,23,26,29,25,30,69
Carlos Pérez,0,3,2,48,27,52,62,65,51,49,21,54,32,54,48,51,38,58,64,61,63,57,49,74,65,32,20,23,30,25,34,22,58
Collantes,16,4,3,64,65,19,26,39,41,66,68,33,59,78,63,58,54,88,90,59,57,86,85,77,46,74,58,61,64,59,72,48,67
Felix Bastians,3,3,2,65,66,72,73,75,68,70,54,72,58,69,68,70,71,74,85,78,77,60,65,75,70,71,48,69,72,70,60,67,74
Markus Karl,7,3,2,61,56,65,64,69,75,65,61,71,64,70,52,64,62,53,52,77,84,48,48,55,72,71,52,56,52,61,62,44,68
Nosa,9,4,4,74,75,61,63,72,69,73,82,69,74,65,58,74,67,79,72,83,77,76,85,81,68,82,61,74,48,64,52,58,75
Ibrahim Salah,7,3,2,64,46,66,65,72,77,66,45,58,61,62,46,57,62,72,74,76,74,70,65,70,59,67,49,62,44,63,62,52,66
Sergio Díaz,25,4,3,73,72,29,37,32,33,63,68,22,69,61,62,61,58,68,65,60,36,78,71,40,53,71,71,70,70,73,57,68,67
Jonas Hector,3,3,3,81,74,77,81,81,70,80,62,81,70,81,79,79,75,76,77,84,76,68,71,61,73,69,55,61,65,65,65,51,81
Sanchez Watt,17,3,3,64,67,31,32,33,44,50,63,38,64,61,58,60,59,84,81,68,58,68,71,58,34,60,57,59,56,56,58,51,65
Genta Miura,4,3,2,43,22,60,63,69,51,53,25,61,23,41,43,46,33,63,60,64,62,64,51,69,59,31,21,18,25,42,41,20,61
Harry Maguire,0,3,2,56,53,72,71,76,75,56,46,70,45,58,39,65,64,43,56,72,88,59,38,70,73,52,30,29,29,46,40,27,73
Kaká,0,3,2,48,35,67,65,70,71,57,26,64,53,61,47,53,38,31,33,42,76,58,57,64,67,52,28,37,37,49,43,32,66
Albert Acevedo,0,3,2,44,29,70,72,75,72,78,33,73,40,58,31,49,44,46,40,74,73,63,59,80,74,42,27,25,22,33,42,25,71
Frederico Rendel,9,2,3,65,66,50,48,35,63,65,75,49,64,71,64,63,53,79,76,78,67,61,68,70,53,78,53,76,50,71,72,56,67
Fábio Rodríguez,3,3,2,62,65,72,70,66,65,72,53,60,38,57,68,52,63,75,75,68,62,75,75,85,54,48,38,36,59,30,51,26,67
Carlos García,0,3,2,59,45,65,64,66,80,53,26,62,57,64,40,60,55,41,43,56,81,44,47,56,64,52,24,21,29,54,35,25,66
Robert Mühren,18,4,2,67,58,30,31,33,34,73,75,29,66,65,45,66,60,62,60,68,67,66,68,70,71,69,75,65,66,63,76,67,68
Chris Baird,4,3,2,65,57,72,73,73,76,71,38,74,65,70,67,72,68,55,53,40,71,71,57,70,71,72,43,50,44,61,53,50,68
Stanislav Prokofyev,25,3,3,64,60,30,23,27,56,47,59,25,53,48,32,54,27,50,65,70,77,64,55,73,68,60,67,59,39,31,67,60,63
Clint Dempsey,25,4,4,79,79,31,47,45,70,75,84,33,72,82,66,78,69,69,69,70,73,69,74,79,76,82,82,79,72,73,71,75,79
Bruce Abdoulaye,0,3,2,40,32,63,64,63,75,60,37,68,38,62,49,50,40,60,63,65,79,58,61,92,63,48,17,14,39,33,27,21,66
Sébastien Pocognoli,3,3,3,68,70,74,70,74,77,73,67,67,58,68,76,66,64,77,76,77,71,69,74,79,63,73,50,64,73,69,58,59,73
Xavier Báez,17,3,2,67,60,60,58,63,58,68,58,64,67,67,64,67,66,65,65,73,67,76,69,65,50,67,58,62,58,59,65,45,67
Alexey Tataev,0,2,2,40,32,53,59,61,50,54,32,58,29,47,33,34,27,64,62,58,65,60,45,70,63,41,22,23,28,26,46,29,58
Cheick Doukouré,7,3,3,70,63,67,68,71,66,63,51,65,60,51,52,72,60,64,62,78,71,64,59,53,61,60,52,62,42,44,42,52,69
Nir Bitton,7,3,3,68,67,70,72,74,72,61,48,72,64,81,50,74,70,62,62,75,73,51,48,60,70,74,35,64,43,48,46,40,72
Kofi Yeboah Schulz,3,3,3,51,60,21,26,25,35,33,44,18,45,42,47,36,33,64,68,44,63,66,56,44,45,71,57,41,43,33,52,42,51
Simone Pepe,17,4,3,77,77,56,61,61,61,66,78,54,79,77,76,75,72,67,68,54,60,77,69,62,59,72,64,75,80,76,80,70,74
Lukas Skrivanek,16,2,2,43,55,49,56,58,49,51,42,53,40,38,51,33,28,68,60,63,52,53,59,55,44,28,34,28,32,28,38,26,54
Óscar Franco,25,3,2,63,53,20,21,16,47,56,68,15,54,56,23,58,44,46,49,64,86,52,53,67,74,65,68,58,34,27,71,54,65
Stephen Sama,0,3,2,52,29,64,63,68,80,54,29,56,29,55,32,41,31,55,64,53,81,50,55,66,66,43,18,22,31,32,33,15,65
Frank Bagnack,4,3,2,58,41,63,68,72,60,54,26,66,35,42,50,58,41,69,76,60,71,63,62,73,59,53,23,35,38,36,40,34,66
Michael Amick,0,2,2,38,34,49,50,52,62,46,32,49,42,41,37,46,43,63,66,65,69,58,47,68,54,47,28,39,29,34,42,33,54
Daniel Offenbacher,7,3,3,70,65,52,55,60,72,66,65,63,67,62,61,65,64,79,75,82,62,82,83,59,48,72,54,71,74,69,61,58,65
Daryl Horgan,17,4,4,70,74,17,20,23,30,58,60,16,63,56,70,58,56,85,87,90,51,80,79,92,49,60,62,57,67,67,61,54,70
Cedric Teuchert,16,3,3,65,68,22,20,27,50,65,57,30,49,59,53,59,44,77,75,67,66,71,76,66,60,58,64,55,56,37,63,49,64
Luca Zuffi,7,4,2,77,71,67,68,70,63,66,64,70,82,62,77,84,77,72,71,82,72,77,73,70,61,71,68,73,75,80,61,65,75
Sadio Diallo,25,3,3,75,76,44,32,45,54,73,66,49,73,56,64,75,67,74,76,71,74,60,74,71,68,75,69,72,75,76,68,69,74
Harry Lennon,0,3,2,49,26,64,64,65,43,52,29,61,33,56,24,42,31,67,72,60,73,51,64,71,64,38,18,19,24,31,37,24,62
Faisal Ahmed Al Kharaa,4,2,2,59,56,59,64,62,58,58,50,60,52,55,55,56,46,75,71,70,61,61,78,78,58,42,21,24,43,35,45,31,63
Jamel Saihi,7,3,2,71,65,70,67,73,79,70,59,72,71,74,65,74,73,53,62,67,69,65,69,68,65,67,47,57,60,62,59,43,73
Stefano Napoleoni,9,4,3,70,74,18,27,23,59,74,70,30,69,47,56,66,48,68,66,63,51,65,72,42,48,62,67,53,45,49,54,68,69
Michael Funston,17,2,2,40,51,53,51,54,52,45,51,53,52,47,48,49,49,58,61,73,58,66,45,57,47,55,48,54,47,44,46,49,52
Stefano Denswil,0,4,2,68,63,74,77,76,76,74,41,73,61,68,44,73,71,56,59,64,80,53,60,77,76,83,46,60,65,68,63,43,76
Sergey Parshivlyuk,6,3,2,66,68,69,72,71,72,64,67,65,64,62,67,66,57,75,76,75,70,73,64,78,65,57,54,56,56,42,57,45,70
Aydın Karabulut,16,3,4,68,76,34,35,45,65,66,65,26,67,65,58,58,55,76,75,66,71,71,75,68,44,71,55,66,66,58,54,47,67
Jonas Thorsen,3,3,2,56,55,60,63,64,60,57,30,55,41,43,35,56,53,63,63,83,60,62,58,76,58,43,29,35,27,23,31,28,60
Gary Roberts,16,3,4,68,70,15,30,33,65,55,65,33,74,70,68,68,62,53,54,61,58,72,68,45,48,64,64,66,70,69,72,66,67
Jan Kliment,9,3,3,68,69,20,21,28,39,66,63,32,60,59,64,64,51,68,72,63,65,67,72,73,65,65,65,55,59,49,55,62,65
Ioan Adrian Hora,17,3,3,66,63,44,48,50,55,68,70,53,67,65,65,66,63,76,73,65,68,67,70,50,55,65,70,62,61,63,67,59,68
Loïc Rémy,25,3,4,76,75,23,21,24,57,77,81,48,71,76,61,75,60,87,86,73,74,65,77,89,80,78,80,77,66,51,78,71,81
Emmanuel Letlotlo,25,3,3,61,64,14,15,15,33,64,57,24,54,54,51,58,29,76,72,65,53,68,61,65,55,56,64,55,41,39,66,44,61
Christophe Hérelle,0,3,2,53,46,70,73,67,58,62,47,58,39,47,56,56,48,72,63,72,63,52,48,68,58,50,37,43,45,42,47,31,65
Remo Arnold,7,3,2,50,48,55,61,58,58,51,40,53,37,57,38,58,56,51,50,49,70,60,50,60,62,49,30,30,38,40,45,31,56
Norichio Nieveld,0,3,2,64,44,60,62,65,72,65,32,64,44,56,43,59,64,65,59,71,76,51,56,63,60,59,25,45,45,47,55,31,65
Alexandru Chipciu,17,4,3,75,77,46,43,40,68,68,66,59,76,61,69,74,68,77,75,66,69,68,71,52,58,70,71,72,66,65,67,63,74
Hasan Ali Kaldırım,3,2,3,75,72,76,74,75,74,74,66,72,58,72,73,75,74,82,80,82,64,78,76,70,60,73,52,68,78,32,40,42,76
Héctor Urrego,0,2,2,48,44,64,59,64,75,64,40,72,34,62,47,49,51,57,65,78,77,56,57,81,73,28,38,24,33,26,32,22,68
Michael Santos,17,3,3,71,72,23,27,31,67,74,73,37,71,61,69,65,57,68,67,57,63,77,53,73,70,72,74,64,67,52,68,66,72
Nicolás Miracco,25,3,2,61,62,44,39,34,51,57,56,22,57,60,67,63,64,67,69,45,56,70,65,57,56,64,65,60,60,50,57,47,62
Raúl Cámara,3,3,2,65,67,66,65,62,74,65,51,57,55,60,66,65,53,80,86,88,68,70,84,80,52,59,45,45,56,40,49,40,68
David Elm,25,4,2,66,57,33,32,47,67,69,62,22,68,71,40,63,51,42,49,60,86,35,34,52,75,69,63,55,46,47,58,56,65
Brek Shea,16,2,3,68,71,62,59,63,75,65,64,63,62,67,62,67,64,72,76,71,75,56,82,65,66,80,64,59,72,64,65,61,68
Stefan Mauk,9,3,2,65,65,49,51,58,47,61,65,52,63,64,60,65,64,70,72,72,67,79,71,60,55,62,64,55,59,46,44,56,65
Richard Stearman,0,3,2,57,45,66,68,67,79,66,42,67,36,46,45,63,53,54,57,66,74,50,58,70,68,50,33,43,32,33,48,30,69
Anton Putsila,9,4,4,75,73,39,47,54,51,63,64,51,65,68,70,70,63,72,69,71,69,77,75,53,56,72,69,69,70,59,52,63,70
Marco Donadel,7,3,2,72,65,65,66,66,84,72,50,67,69,71,70,72,75,66,55,68,65,62,69,75,67,78,45,74,76,64,55,66,71
Albin Lohikangas,3,2,2,41,54,48,50,49,55,53,47,54,37,38,46,37,39,67,61,59,56,65,56,63,44,30,28,26,35,25,33,28,52
Jakub Bartkowski,3,3,2,56,53,65,69,64,55,53,45,60,59,59,66,60,58,77,76,74,58,70,62,64,42,39,38,39,29,33,39,42,65
Gianluca Gaudino,7,3,3,78,69,40,36,47,33,67,49,58,73,70,50,80,74,66,55,68,30,81,82,57,40,51,36,37,51,53,51,42,69
Hernán Hechalar,9,2,4,76,72,20,19,21,39,74,73,43,70,68,66,71,59,79,79,81,60,76,85,64,62,70,71,65,68,64,65,64,73
Dimitris Nikolaou,0,2,2,52,24,62,63,64,60,52,29,59,26,49,24,58,60,60,63,66,74,51,41,74,58,53,25,50,24,29,49,25,63
Vladislav Ignatiev,16,4,3,74,73,43,55,59,55,68,68,47,73,65,70,75,74,81,79,66,65,68,70,63,67,60,72,66,71,65,70,65,74
Ole Amund Sveen,16,4,2,60,56,53,50,59,49,63,63,59,54,54,50,62,56,76,79,71,72,67,60,65,54,63,61,55,44,38,64,45,63
Joe Wright,0,3,2,38,32,62,61,65,58,48,29,62,36,50,29,41,33,51,49,64,73,51,45,65,64,44,23,19,25,29,30,32,62
Mario López,0,3,2,40,22,65,67,69,61,57,32,64,34,44,35,37,32,55,73,54,84,68,64,71,69,35,18,30,26,23,41,30,66
Alam Araújo,3,3,3,62,71,68,73,73,55,61,55,64,41,44,71,71,71,75,77,70,66,74,71,58,69,51,55,44,61,66,50,44,70
Patrick,4,3,2,70,67,70,72,74,74,69,60,72,52,55,64,65,58,76,76,76,66,70,75,59,56,66,42,50,50,62,45,45,72
Diego Fabbrini,18,3,4,77,78,19,22,27,34,65,60,31,67,70,66,73,61,76,72,74,50,51,87,60,60,64,61,64,76,58,59,66,71
Sebastián Varas,25,3,3,65,59,18,22,20,64,61,72,15,64,54,23,57,42,69,64,84,83,43,73,82,69,72,68,59,46,56,68,43,68
Fachendinho,17,3,3,65,63,21,32,28,53,71,52,22,41,53,59,51,44,51,50,69,51,53,53,71,60,62,70,64,53,50,65,57,62
Tom Conlon,16,4,2,58,53,45,49,54,47,54,51,56,60,52,47,60,58,64,65,58,43,75,83,73,41,54,44,57,62,64,43,37,57
Joaquín Arzura,7,3,2,67,63,66,70,71,73,69,32,74,61,56,66,68,69,75,70,85,71,77,67,78,56,63,39,58,45,46,48,37,71
Kristoffer Ryland,17,3,2,54,52,27,29,25,29,39,43,22,41,49,52,45,45,61,59,50,46,68,56,34,31,54,48,33,41,35,48,36,50
Nicolás Andereggen,25,3,3,59,63,21,18,18,28,51,55,12,55,57,35,56,46,67,67,62,63,74,77,59,47,62,62,60,51,36,65,58,60
Marco Caligiuri,4,3,2,66,62,70,69,72,72,69,57,71,62,72,64,71,69,68,66,70,72,70,75,84,66,68,50,55,56,48,63,53,71
Matías Pisano,17,3,4,70,72,29,34,37,43,80,66,36,71,68,65,70,67,78,77,72,32,79,81,60,43,69,65,71,72,66,49,48,72
Remo Freuler,9,3,3,74,71,56,55,64,60,73,77,68,72,66,69,76,72,69,69,79,66,61,72,58,41,69,63,61,60,70,61,61,73
Germán da Silvieira,9,3,3,61,58,45,46,56,55,72,69,43,42,49,41,41,45,75,73,68,60,61,56,65,53,75,68,63,46,40,65,64,66
Shota Kobayashi,4,3,3,63,58,45,54,55,46,58,55,39,68,57,67,63,62,68,65,79,60,74,70,69,49,55,43,43,57,50,45,41,63
Leonardo Di Lorenzo,7,3,3,67,63,39,43,59,70,75,58,77,68,71,56,57,65,68,67,70,57,76,71,58,65,62,50,58,62,62,49,55,66
Ryan Fraser,17,4,3,71,76,53,37,43,65,62,67,35,67,68,70,68,52,89,91,73,47,92,92,61,25,60,67,69,70,67,56,43,72
Dillon Powers,9,4,3,70,63,52,57,59,61,71,67,56,65,67,61,72,65,67,69,68,71,59,59,55,59,79,60,72,74,67,67,62,68
Liam Martin,16,3,3,56,59,17,18,19,35,55,54,24,51,49,55,50,43,66,67,55,45,71,65,54,52,51,58,52,40,33,59,39,57
Giannis Maniatis,4,3,2,70,65,70,71,68,76,74,60,75,62,67,71,67,68,74,74,67,69,65,71,67,62,70,53,62,64,58,65,48,71
Thomas Robinet,17,3,2,59,58,20,14,12,41,61,55,19,57,45,61,61,52,70,68,60,73,67,71,71,60,63,60,52,42,32,65,54,61
Dimitris Nikolaou,3,2,2,52,24,62,63,64,60,52,29,59,26,49,24,58,60,60,63,66,74,51,41,74,58,53,25,50,24,29,49,25,63
Nicolás Peñailillo,16,2,2,65,64,59,64,61,67,59,61,62,59,51,67,66,64,74,74,66,68,68,71,74,54,64,61,69,64,74,51,59,66
Cao Yunding,7,4,3,75,73,21,31,28,39,66,35,42,69,50,65,72,65,70,70,59,50,78,65,45,44,56,59,58,59,55,59,44,67
Jesper Florén,4,3,3,54,58,60,64,62,47,59,47,58,54,55,56,51,45,73,64,77,57,73,73,66,42,46,38,37,52,44,32,44,62
Edu García,17,3,2,62,63,27,36,48,73,65,68,47,66,58,70,59,71,74,75,68,57,62,70,59,34,79,60,61,73,66,59,47,67
Matt Clarke,0,3,2,53,48,59,62,65,61,45,43,60,46,45,41,58,54,55,63,70,81,64,50,70,63,45,29,33,36,36,34,33,64
Jon Gorenc-Stankovic,0,3,2,44,35,61,58,66,65,59,46,57,35,49,28,56,46,49,55,58,69,34,44,59,72,53,39,30,29,29,40,32,63
Mateusz Jarzynka,4,2,2,31,28,50,51,59,43,41,25,57,28,58,26,31,25,68,66,66,61,64,61,65,58,35,21,18,24,28,38,31,54
Kim Sung Joon,7,3,2,65,63,57,43,51,62,74,64,56,72,55,63,69,65,65,72,77,64,83,82,79,58,66,61,64,64,66,61,51,68
Pablo Piatti,16,2,4,78,82,36,38,35,55,73,80,51,74,68,76,75,63,88,79,65,52,91,85,76,71,63,73,70,81,58,59,72,78
Daichi Kamada,9,4,3,68,70,33,41,40,48,64,58,28,66,60,60,65,55,83,79,66,70,64,84,58,48,44,57,51,56,50,53,38,67
Fabian Nuñez,9,2,3,69,70,35,38,27,41,51,51,26,53,59,48,52,49,84,84,55,46,83,83,55,35,54,59,31,67,40,46,49,60
Yun Ju Tae,25,4,3,68,67,20,25,28,64,70,58,23,54,61,59,63,56,76,83,83,66,71,87,88,55,67,71,55,60,61,44,52,67
Gary Warren,0,2,2,57,49,68,66,63,70,63,25,63,34,68,31,53,49,54,45,62,75,61,57,70,69,42,38,35,33,30,39,31,66
Gareth Evans,4,3,2,61,62,45,51,52,50,65,60,43,58,59,59,54,43,81,84,88,73,64,72,72,63,58,59,59,46,59,56,55,64
David Simón,6,3,2,72,70,72,73,71,80,66,67,69,43,49,73,79,63,77,82,85,60,74,65,70,60,57,42,45,64,40,38,36,74
Gaku Shibasaki,17,3,3,74,71,62,59,62,60,73,62,66,72,70,66,76,65,75,72,75,54,78,77,68,56,64,69,62,59,67,71,61,71
Fahad Ayed Al Johani,17,3,2,58,61,13,17,18,56,58,58,17,49,55,64,52,37,77,78,59,72,67,64,58,53,62,66,58,47,53,64,54,61
Javi Ontiveros,16,3,3,74,75,24,23,25,35,63,62,23,64,49,69,76,67,76,72,34,33,88,75,49,32,72,68,71,70,61,68,37,70
Víctor Díaz,4,3,2,72,57,65,76,70,73,71,59,68,62,56,74,71,58,66,74,89,72,64,58,87,72,65,58,49,59,51,42,35,74
Gary Liddle,0,3,2,64,47,60,63,64,75,65,45,65,53,65,49,64,63,50,51,66,75,52,67,73,63,56,41,43,47,32,46,49,65
Aaron Nemane,16,2,3,58,66,14,12,19,42,53,56,14,55,47,50,47,39,85,87,62,34,74,78,48,35,50,54,41,41,29,59,34,60
Ewandro,25,3,3,74,75,22,16,21,35,67,73,17,64,50,65,59,48,77,79,55,42,81,78,51,52,65,73,62,56,52,71,67,69
Jakub Tosik,7,2,2,60,52,67,69,63,89,64,56,61,47,46,56,62,61,75,74,75,70,69,73,71,51,61,38,48,56,39,45,36,66
Lorenzo De Silvestri,17,3,2,73,71,71,77,77,71,75,66,75,49,70,78,70,66,74,76,78,79,58,69,78,79,74,40,75,64,62,52,60,76
Andrew Considine,3,3,2,54,53,65,63,66,61,53,20,68,39,63,55,65,55,54,61,75,77,63,46,75,65,42,15,13,30,50,38,30,66
